Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
Treebo Hotels,Hospitality,Undisclosed,Bangalore,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",6000000.0,2020
GPS Renewables,CleanTech,Series A,Bangalore,To solve the urban waste problem by utilising local technologies and business models.,3000000.0,2020
Public,Social Media,Undisclosed,New Delhi,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,30000000.0,2020
Legal Salah,LegalTech,Seed,Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,1000000.0,2020
FanPlay,Gaming,Seed,New Delhi,FanPlay Technologies operates as a real-money gaming startup.,121793941.14254577,2020
ECOSTP,Sanitation solutions,Undisclosed,Bangalore,Eco friendly zero power zero maintenance sewage treatment plant in India.,19000000.0,2020
Coralogix,SaaS,Series B,San Francisco,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,25000000.0,2020
Equiwatt,Tech,Undisclosed,Newcastle Upon Tyne,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,300000.0,2020
Reliance Retail Ventures,E-Commerce,Undisclosed,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",800000000.0,2020
Zhangmen,EdTech,Undisclosed,Shanghai,Zhangmen is an online tutoring platform provides tutoring courses to students.,400000000.0,2020
AgroWave,AgriTech,Undisclosed,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,500000.0,2020
Sapio Analytics,Tech,Undisclosed,Mumbai,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,150000.0,2020
Taimei,Health Care,Undisclosed,Jiaxing,Taimei Technology provides a cloud platform for clinical research collaboration.,176000000.0,2020
Avanse Financial Services,FinTech,Undisclosed,Mumbai,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",15000000.0,2020
Industry Buying,E-Commerce,Undisclosed,New Delhi,India's largest industrial ecommerce platform,15000000.0,2020
Hopscotch,E-Commerce,Undisclosed,Mumbai,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",25000000.0,2020
Pristyn Care,Health Care,Undisclosed,Gurugram,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,11000000.0,2020
WoodenStreet,Home Design,Undisclosed,Rajastan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,1000000.0,2020
ACKO,Insurance Tech,Undisclosed,Mumbai,Acko General Insurance is a private sector general insurance company in India.,60000000.0,2020
Farmers Fresh Zone,AgriTech,Undisclosed,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,470000.0,2020
Invento,AI,Undisclosed,Bangalore,Invento Robotics specializes in developing service robots intended for customer interactions.,121793941.14254577,2020
Infurnia,Tech,Undisclosed,Bangalore,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,240000.0,2020
AnalytIQSports's SuperCric,Entertainment,Undisclosed,Bangalore,SuperCric is India's first strategy Cricket Manager simulation game,121793941.14254577,2020
Snowflake,Tech,Undisclosed,California,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,3000000000.0,2020
GenieTalk,Tech,Undisclosed,Indore,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,750000.0,2020
Classplus,EdTech,Undisclosed,Noida,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,10000000.0,2020
Mobile Premier League,Entertainment,Undisclosed,Bangalore,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,74000000.0,2020
Fourth Partner Energy,Solar Solution,Undisclosed,Hyderabad,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,16000000.0,2020
Flipkart,E-Commerce,Undisclosed,Bangalore,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,62000000.0,2020
Vivriti Capital,FinTech,Undisclosed,Chennai,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,1000000.0,2020
InsuranceDekho,FinTech,Undisclosed,Ludhiana,The funding for branding and marketing activities as well as strengthening the product and technology teams,20000000.0,2020
BestDoc,Health Care,Undisclosed,Kochi,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,2100000.0,2020
Byju’s,EdTech,Undisclosed,Bangalore,An Indian educational technology and online tutoring firm,500000000.0,2020
Melorra,Jewellery,Undisclosed,Bangalore,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,12500000.0,2020
Reliance,Multinational conglomerate company,Undisclosed,Mumbai,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",2200000000.0,2020
Inflexor Ventures,FinTech,Undisclosed,Mumbai,Experienced Venture Capital-General Partner focused on Technology investments.,10000000.0,2020
Pandorum,Deeptech,Undisclosed,Bangalore,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,5060000.0,2020
SpeakIn,Social Network,Undisclosed,Noida,"AI-enabled network of speakers and thought leaders, aka. experts",121793941.14254577,2020
LetsUp,Publication,Undisclosed,Mumbai,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",121793941.14254577,2020
Newsreach,Publication,Undisclosed,Gujarat,NewsReach India offers partner publications a digital footprint,121793941.14254577,2020
Dream11,Entertainment,Undisclosed,Mumbai,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,225000000.0,2020
SignalX,SaaS platform,Undisclosed,Hyderabad,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",750000.0,2020
JetSynthesys,Tech,Undisclosed,Mumbai,Gaming and entertainment startup,40000000.0,2020
Vesta Space Technology,Tech,Undisclosed,Pune,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,10000000.0,2020
Dozee,HealthTech,Undisclosed,Bangalore,Dozee offers health and wellness monitoring products.,1600000.0,2020
Rebel Foods,Food,Undisclosed,Pune,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",50000000.0,2020
Nykaa,Fashion,Undisclosed,Mumbai,Cosmetics & beauty products online,24700000.0,2020
Ketto,Finance,Undisclosed,Mumbai,"Crowdfunding, Charity, E-commerce",7700000.0,2020
Suryoday,Finance,Undisclosed,Mumbai,Banks that extends two distinct fixed deposit schemes,800000.0,2020
SucSEED,Finance,Undisclosed,Hyderabad,Venture Partners,1300000.0,2020
Unacademy,EdTech,Undisclosed,Bangalore,Unacademy is an Indian online education technology company,150000000.0,2020
Strata,Real Estate,Undisclosed,Bangalore,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",19067328.0,2020
3one4 Capital,Venture Capital,Undisclosed,Bangalore,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,100000000.0,2020
WE-Hub,Entreprenurship,Undisclosed,Hyderabad,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,121793941.14254577,2020
Zomato,Food Delivery,Undisclosed,Haryana,Get online food delivery from restaurants near you,62000000.0,2020
Vicara,Tech,Undisclosed,Bangalore,A deep tech startup pioneering in motion-based interfaces and insights.,121793941.14254577,2020
Gaana,Entertainment,Undisclosed,Gurugram,Gaana is a commercial music streaming service providing free and licensed music.,51000000.0,2020
EM3 Agri,AgriTech,Undisclosed,Noida,A pioneering organization in the farming-as-a service (FaaS) space,1000000.0,2020
Plum,Cosmetics,Undisclosed,Thane,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",115000.0,2020
Odwen,Warehouse,Undisclosed,Noida,India's first do-it-yourself warehouse management system.,54000.0,2020
Fasal,AgriTech,Undisclosed,Bangalore,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,20000.0,2020
Trukky,Logistics,Undisclosed,Ahmedabad,"Transportation, logistics services & cargo services.",121793941.14254577,2020
BankBazaar,Online financial service,Undisclosed,Chennai,Check your latest Credit Score and get your Credit Report online in India for Free,9000000.0,2020
Specsmakers,Eyeglasses,Undisclosed,Chennai,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",3000000.0,2020
Grinntech,Battery design,Undisclosed,Dehradun,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",2000000.0,2020
CreditMantri,Online credit management startup,Undisclosed,Chennai,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,803146.0,2020
Chai Waale,Beverages,Undisclosed,Chennai,Given the rising trend in the number of tea stalls in the city,238000.0,2020
Deepsync,Tech,Undisclosed,Bangalore,"Deepsync is a revolutionary way to record your content, without you really speaking.",300000.0,2020
ConnectedH,Health Care,Undisclosed,Gurgaon,The company’s vision is simple – Connected Healthcare.,121793941.14254577,2020
Reliance Retail,E-Commerce,Undisclosed,Mumbai,"Retailer delivering superior value to its customers, suppliers and shareholders.",10220000.0,2020
QShala,EdTech,Undisclosed,Bangalore,A platform that helps kids learn about life skills,300000.0,2020
Pitstop,Car Service,Undisclosed,Bangalore,"Pitstop owns and operates a network of garages that provides car repair, detailing",1020000.0,2020
Zomato,Food Delivery,Undisclosed,Haryana,Get online food delivery from restaurants near you,100000000.0,2020
Customfit ai,SaaS,Undisclosed,Bangalore,Operates on a SaaS model by providing a hyper-personalised website to users.,121793941.14254577,2020
Nirmata,Tech,Undisclosed,San Francisco,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,121793941.14254577,2020
Hire Me Car,TravelTech,Seed,Noida,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,121793941.14254577,2020
Oga Fit,Fitness,Pre-series A,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,121793941.14254577,2020
ShipsKart,E-Commerce,Pre-series A,New Delhi,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",200000.0,2020
SquadStack,Tech,Series A,San Francisco,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",5000000.0,2020
Financepeer,EdTech,Pre-series A,Mumbai,Financepeer is an AI based peer to peer lending platform.,3000000.0,2020
Cashify,E-Commerce,Debt,Gurugram,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,10000000.0,2020
Etrio,EV,Series A,Hyderabad,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",3000000.0,2020
Codeyoung,EdTech,Seed,Bangalore,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,121793941.14254577,2020
StayQrious,EdTech,Seed,Bangalore,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",2000000.0,2020
Sunstone Eduversity,EdTech,Series A,Gurugram,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,3000000.0,2020
Infilect,SaaS,Pre-series A,Bangalore,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,1500000.0,2020
